Approach,CPU%_mean,CPU%_sd,CPU%_ci_low,CPU%_ci_high,CPU%_cv,Memory_MB_mean,Memory_MB_sd,Memory_MB_ci_low,Memory_MB_ci_high,Memory_MB_cv,Battery%_mean,Battery%_sd,Battery%_ci_low,Battery%_ci_high,Battery%_cv,Jank_Count_mean,Jank_Count_sd,Jank_Count_ci_low,Jank_Count_ci_high,Jank_Count_cv
GetX,6.1,0.8755950357709131,5.473637044312169,6.72636295568783,14.354016979851036,171.39999999999998,2.2627416997969525,169.78133209858242,173.01866790141753,1.3201526836621662,0.8,0.13333333333333336,0.7046190792015546,0.8953809207984454,16.666666666666668,318.3,17.081829202075784,306.0803955133818,330.5196044866182,5.366581590347403
Riverpod,7.1,0.8755950357709131,6.473637044312169,7.72636295568783,12.332324447477651,177.37999999999997,2.235968594492231,175.7804844243569,178.97951557564303,1.2605528213396278,0.9099999999999999,0.15951314818673867,0.795891167848675,1.024108832151325,17.528917383158095,418.7,26.812310605391694,399.51962844292865,437.8803715570713,6.403704467492642
MobX,8.1,0.8755950357709131,7.473637044312169,8.72636295568783,10.809815256431026,180.07999999999998,2.54069106959329,178.2624990973835,181.89750090261646,1.410867986224617,1.0399999999999998,0.16465452046971288,0.9222132516797922,1.1577867483202073,15.832165429780087,460.2,26.914680009244027,440.94639778292094,479.45360221707904,5.848474578279885
Adaptive BLoC,9.1,0.8755950357709131,8.47363704431217,9.72636295568783,9.621923470010035,188.39999999999998,2.2588099128129926,186.78414472955427,190.01585527044568,1.1989436904527564,1.2100000000000002,0.0875595035770913,1.1473637044312173,1.272636295568783,7.236322609676966,483.0,13.182479955523458,473.56982192576345,492.43017807423655,2.729291916257445
Provider,9.1,0.8755950357709131,8.47363704431217,9.72636295568783,9.621923470010035,182.93,2.9721111090341905,180.80387979278774,185.05612020721227,1.6247259110228995,1.1500000000000001,0.15092308563562362,1.042036128417487,1.2579638715825132,13.123746577010747,557.0,29.20806585707296,536.1058083785806,577.8941916214194,5.243817927661214
BLoC,10.1,0.8755950357709131,9.47363704431217,10.72636295568783,8.66925777991003,188.83,3.0317028584975523,186.6612504232692,190.99874957673083,1.6055197047595997,1.32,0.15491933384829665,1.2091773846605078,1.4308226153394923,11.736313170325504,534.6,17.8088617142016,521.8603077849546,547.3396922150455,3.3312498530118964
